id;nome;data_nascimento;local_nascimento;data_morte;local_morte;biografia;foto
13337;Maria Margarida Ribeiro Garcez da Silva Ventura;1949;Vila Franca de Xira;;;
13338;João Pedro George;;;;;;
13339;Luís Serguilha;1966;Vila Nova de Famalicão;;;
1334;;
13340;Júlia Matos Silva;;;;;;
13341;Miguel Cardina;1978;Nazaré;;;
13342;Fernando Tavares Pimenta;;;;;;
13343;Bruno J. Navarro;;;;;;
13344;Dimíter Ánguilov;1945;;;;
13345;Simão Fernandes de Tavira;;;;;;
13346;João Bouza da Costa;1954;Lisboa;;;
13347;Nuno Costa Santos;;;;;;
13348;Ana Biscaia;1978;Figueira da Foz;;;
13349;Catarina Sobral;1985;Coimbra;;;
1335;;
13350;Richard A. Preto-Rodas;;;;;;
13351;Ana Ventura;1972;;;;
13352;;
13353;Pitum Keil do Amaral;1935;Lisboa;;;
13354;Carlos Amaral;1879;Chamusca;1946;Lisboa;;
13355;Tiago Albuquerque;1982;Lisboa;;;
13356;Maria Archer;1905;Lisboa;1982;Lisboa;;
13357;Flora Azevedo;1947;Porto;;;
13358;Maria Paula Azevedo;1881;Lisboa;1951;Lisboa;;
13359;Teresa Balté;1942;Lisboa;;;
1336;;
13360;António Alçada Baptista;1927;Covilhã;2008;Lisboa;;
13361;André da Loba;1979;;;;
13362;Eurico Baptista;1922;Alcáçovas;;;
13363;Agustina Bessa-Luís;1922;Vila Meã;;;
13364;Raul Brandão;1867;Foz do Douro;1930;Lisboa;;
13365;Eugénio de Andrade;1923;Póvoa da Atalaia;2005;Porto;;
13366;Sophia de Mello Breyner Andresen;1919;Porto;2004;Lisboa;;
13367;António Lobo Antunes;1942;Lisboa;;;
13368;Matilde Rosa Araújo;1921;Lisboa;2010;Lisboa;;
13369;Alexandre Cabral;1917;Lisboa;1996;Lisboa;;
1337;;
13370;Fernando Cardoso;1939;Porto;;;
13371;Alexandra Monteiro;;;;;;
13372;Papiniano Carlos;1918;Lourenço Marques;2012;Porto;;
13373;Ângela Varela;1938;Santa Cruz;;;
13374;Mário Castrim;1920;Ílhavo;2002;Lisboa;;
13375;Fernanda de Castro;1900;Lisboa;1994;Lisboa;;
13376;Yvette Centeno;1940;Lisboa;;;
13377;Mário Cláudio;1941;Porto;;;
13378;Maria da Conceição Coelho;;;;;;
13379;Maria Cabral de Mendonça;;;;;;
1338;;
13380;Maria Alexandra Cóias;;;;;;
13381;Maria Rosa Colaço;1935;Torrão;2004;Lisboa;;
13382;Aurora Constança;1901;;1979;?;;
13383;Mário Contumélias;1948;Setúbal;;;
13384;Luís Soares Barbosa;;;;;;
13385;José António Garcia Chaves;;;;;;
13386;Maria Araújo da Silva;;;;;;
13387;Pedro Miguel Rocha;;;;;;
13388;Clara Pinto Correia;1960;Lisboa;;;
13389;Maria Cecília Correia;1919;Viseu;1993;Lisboa;;
1339;;
13390;Maria Rosa Dias Costa;1926;Lisboa;;;
13391;Álvaro Cunhal;1913;Coimbra;2005;Lisboa;;
13392;Luísa Dacosta;1927;Vila Real;;;
13393;Raquel Delgado;1949;;;;
13394;Fátima Domingues;;;;;;
13395;Gabriela Morais;1942;Lisboa;;;
13396;Gabriel Ferrão;;;;;;
13397;António Mega Ferreira;1949;Lisboa;;;
13398;José Gomes Ferreira;1900;Porto;1985;Lisboa;;
13399;Leyguarda Ferreira;1897;Lisboa;?;;;
1340;;
13400;Manuel Ferreira;1917;Leiria;1992;Oeiras;;
13401;Yara Kono;1972;São Paulo;;;
13402;Maria da Conceição Galveia Ferreira;1963;Moçambique;;;
13403;Maria Emília de Almeida M. Ferreira;1955;Coimbra;;;
13404;Vergílio Ferreira;1916;Gouveia;1996;Lisboa;;
13405;Violeta Figueiredo;1947;Figueira da Foz;;;
13406;Silva Capón Sánchez;;;;;;
13407;Frei Bernardo de Jesus Maria;1736;;;;
13408;Eduardo Valente da Fonseca;1928;Aveiro;2003;;;
13409;Lília da Fonseca;1916;Benguela;1991;Lisboa;;
1341;;
13410;António José Forte;1931;Póvoa de Santa Iria;1988;Lisboa;;
13411;José António Franco;1951;Coimbra;;;
13412;Henrique Galvão;1895;Barreiro;1970;São Paulo;;
13413;Maria Antonieta Garcia;1945;Fundão;;;
13414;Teolinda Gersão;1940;Coimbra;;;
13415;Alice Gomes;1910;Tabuaço;1983;;;
13416;Fernando Bento Gomes;1938;Setúbal;;;
13417;Madalena Gomes;1928;Ponta Delgada;2010;Lisboa;;
13418;José Carlos González;1937;Lisboa;2000;Kerlaz;;
13419;Teresa Guedes;1957;Porto;2007;Vila Nova de Gaia;;
1342;;
13420;Nuno Higino;1960;Felgueiras;;;
13421;Alexandre Honrado;1960;Lisboa;;;
13422;Lídia Jorge;1946;Boliqueime;;;
13423;Patrícia Joyce;1913;Lisboa;1986;;;
13424;Maria Lamas;1893;Torres Novas;1983;Lisboa;;
13425;Olavo de Eça Leal;1908;Lisboa;1976;Oxford;;
13426;Leonoreta Leitão;1929;Leiria;;;
13427;José de Lemos;1910;Lisboa;1995;Lisboa;;
13428;José Jorge Letria;1951;Cascais;;;
13429;Augusto César Pires de Lima;1883;Santo Tirso;1959;Caldas da Saúde;;
1343;;
13430;Fernando Castro Pires de Lima;1908;Porto;1973;Porto;;
13431;Jorge Listopad;1921;Praga;;;
13432;Manuela Moniz Lopes;1951;Aveiro;;;
13433;Cremilde Madaíl;1965;Coimbra;;;
13434;Ilse Losa;1913;Buer (Hanover);2006;Porto;;
13435;Álvaro Magalhães;1951;Porto;;;
13436;Gonçalo Viana;1975;;;;
13437;Francisco Duarte Mangas;1960;Rossas;;;
13438;Manuel Jorge Marmelo;1971;Porto;;;
13439;Maria Mata;;;;;;
1344;;
13440;;
13441;;
13442;Virgínia Lopes Mendonça;1881;;1969;;;
13443;Maria Alberta Menéres;1930;Vila Nova de Gaia;;;
13444;João Carlos Pereira;1942;Lisboa;;;
13445;Vuk Secerovic;;;;;;
13446;Yao Jing Ming;;;;;;
13447;Instituto Cultural de Macau;;;;;;
13448;Francisco Viana;2012;;?;Lisboa;;
13449;Rui Manuel Afonso Mateus;;;;;;
1345;;
13450;Rubem Fonseca;;;;;;
13451;Ivo Lima do Carmo;;;;;;
13452;Helena Carvalho;;;;;;
13453;Rhett McNeil;;;;;;
13454;José Manuel de Vasconcelos;;;;;;
13455;Inês Pupo;;;;;;
13456;João Vieira (Sabino);1920;Muge;;;
13457;João Morgado;;;;;;
13458;José Seabra da Silva;1732;;;;
13459;Jesué Pinharanda Gomes;1939;Quadrazais;;;
1346;;
13460;António Castelo Branco;;;;;;
13461;Teófilo Duarte;1892;Oledo;;;
13462;Francisco Melo Ferreira;;;;;;
13463;Maria Lucinda Fonseca;;;;;;
13464;Teresa Sancha Pereira;;;;;;
13465;Henrique Fernandes Serrão;;;;;;
13466;Catarina Dantas;;;;;;
13467;Alberto de Madureira;1870;Braga;1918;Braga;;
13468;Miguel Martins;1969;;;;
13469;Eduardo Pires Coelho;;;;;;
1347;;
13470;Isabela Figueiredo;1963;Lourenço Marques (hoje Maputo);;;
13471;Edmundo Pedro;1917;Alcochete;;;
13472;Paulo de Cantos;1893;Lisboa;1979;Lisboa;;
13473;René P. Garay;;;;;;
13474;António Marques Lésbio;1639;Lisboa;1709;Lisboa;;
13475;João Augusto Marques Gomes;1853;Aveiro;1931;;;
13476;Cecília Schmidt Branco;1898;Porto?;?;;;
13477;Manuel Ribeiro de Pavia;1907;Pavia;1957;Lisboa;;
13478;Manuel Bento de Sousa;1835;Ponte da Barca;1899;Lisboa;;
13479;José Tomás de Sousa Martins;1843;Alhandra;1897;Alhandra;;
1348;;
13480;José Machado Pais;1953;;;;
13481;Sara Repolho;;;;;;
13482;Nuno de Figueiredo;1943;Coimbra;;;
13483;João de Deus Rodrigues;1940;Morais;;;
13484;;
13485;Porfírio Silva;1961;Aveiro;;;
13486;João Mangualde Boquinhas;;;;;;
13487;Manuela Montenegro;1923;;;;
13488;Alexandre Dias Pinto;;;;;;
13489;António Loja Neves;;;;;;
1349;;
13490;Fernando Correia Pina;;;;;;
13491;Francisco Alvarez Pamplona;;;;;;
13492;Jacinto Martins;;;;;;
13493;Maria João Worm;1966;Lisboa;;;
13494;Roque Bernardo Barreto Miranda;;;;;;
13495;Dalton Trevisan;1925;Curitiba;;;
13496;José Barros Nunes de Lima Nobre;;;;;;
13497;Margarida Vale de Gato;1973;Vendas Novas;;;
13498;Nuno Milagre;1975;Lisboa;;;
13499;José Mário Silva;1972;Paris;;;
1350;;
13500;Miguel Castro Caldas;1972;Lisboa;;;
13501;José Lourenço de Matos;1893;Folques;1916;Folques;;
13502;Joaquim Machado de Castro;1731;Coimbra;1822;Lisboa;;
13503;Cirilo Volkmar Machado;1748;Lisboa;1823;Lisboa;;
13504;Maria Gabriela Oliveira;;;;;;
13505;Paulo Varela Gomes;1952;Lisboa;;;
13506;Alberto Xavier;1942;Lisboa;;;
13507;Heliodoro Baptista;1944;Gonhane;2009;Beira;;
13508;Cartaxo e Trindade;1945;Vermelha;1989;;;
13509;Lopes Rodrigues;;;;;;
1351;;
13510;Atalaire;;;;;;
13511;Renate Heß;;;;;;
13512;Rui Marques Veloso;;;;;;
13513;Alfredo Caldeira;;;;;;
13514;Diana Andringa;;;;;;
13515;José Pacheco;1954;Lagos;;;
13516;Stuart Carvalhais;1887;Vila Real;1961;Lisboa;;
13517;Eduardo Teixeira Coelho;1919;Angra do Heroísmo;2005;;;
13518;Petra Petrac;;;;;;
13519;Cottinelli Telmo;1897;Lisboa;1948;Cascais;;
1352;;
13520;Francisco de Assis Rodrigues;1801;Lisboa;1877;Lisboa;;
13521;Isabel Valadão;1945;Lisboa;;;
13522;Óscar Paxeco;1904;Setúbal;1970;;;
13523;Maria da Conceição Portugal Dias;1883;Ourique;?;Lisboa?;;
13524;Gonçalo de Baena;;;;;;
13525;Carlos Trajano da Costa;1868;Raia;1888;Nova Goa;;
13526;Armando de Menezes;;;;;;
13527;Pe. José Augusto Tavares;1868;Lousa;1935;Carviçais;;
13528;Laura Costa;1910;;1993;;;
13529;Armanda Duarte;1961;;;;
1353;;
13530;Emerenciano;1946;Ovar;;;
13531;Duarte Bélard Fonseca;1950;;;;
13532;Fernanda Fragateiro;1962;Montijo;;;
13533;Fernando Melo Frazão;1932;Lisboa;1995;;;
13534;Daniel Hahn;;;;;;
13535;Helena Cidade Moura;1924;Lisboa;2012;Lisboa;;
13536;Pedro Ramos de Almeida;1932;Lisboa;2012;Lisboa;;
13537;Agostinho Sesinando Marques;1923;;?;;;
13538;António Francisco Nogueira;;;;;;
13539;Cecília Honório;1962;Cascais;;;
1354;;
13540;Mamia Roque Gameiro;1901;;1996;;;
13541;Raquel Roque Gameiro;1899;;1970;;;
13542;Teresa Saavedra;1947;Porto;;;
13543;Vasco Pinto de Sousa Coutinho;1802;Lisboa;1862;;;
13544;José Maria Pacheco de Aguiar;1803;Porto Judeu;1876;Angra do Heroísmo;;
13545;João Carlos Rodrigues da Costa;1843;Lisboa;1917;Lisboa;;
13546;José da Silva Lisboa;1756;São Salvador da Baía;1835;Rio de Janeiro;;
13547;Joaquim José Rodrigues de Brito;1753;Évora;1831;;;
13548;Fernando Madaíl;1962;;;;
13549;Thierry Proença dos (org.) Santos;;;;;;
1355;;
13550;Fr. Henrique de Sousa de Jesus Maria;1705;Viana do Castelo;;;
13551;Carlos Pato;1921;São João dos Montes;1950;Caxias;;
13552;António Gonçalves;;;;;;
13553;Jorge Vernex;1913;Peso;;;
13554;Belarmino Pedro;;;;;;
13555;Amélia Pinto Pais;;;;;;
13556;José de Arruela;1881;Ovar;1960;Lisboa;;
13557;José de Guimarães;1939;Guimarães;;;
13558;Alice Jorge;1924;Lisboa;;;
13559;Manuel Lapa;1914;Lisboa;1979;Lisboa;;
1356;;
13560;Elsa Lé;1968;Ovar;;;
13561;Gonçalo Pimenta de Castro;1868;;1952;;;
13562;António Ferreira Soares;1871;Regedora da Feira;1945;Regedora da Feira;;
13563;Manuel de Bettencourt Galvão;;;;;;
13564;João da Câmara Leme;1930;Beira;1983;Lisboa;;
13565;Teresa Lima;1962;Lisboa;;;
13566;Raul Lino;1879;Lisboa;1974;;;
13567;António Fournier;1966;Funchal;;;
13568;Oskar Pinto Lobo;1913;Goa;1994;Lisboa;;
13569;Maria João Lopes;1952;Braga;;;
1357;;
13570;João Lucas;1964;Lisboa;;;
13571;Gémeo Luís;1965;Lourenço Marques (actual Maputo);;;
13572;Diogo Pacheco de Amorim;1888;Troviscoso;1976;Coimbra;;
13573;Gil do Monte;1903;;;;
13574;Miguel Castelo Branco;1962;;;;
13575;Alberto Margaride;1878;Guimarães;1947;Vila do Conde;;
13576;Madalena San-Bento;1966;Ponta Delgada;;;
13577;Ana Cristina Silva;1964;Vila Franca de Xira;;;
13578;Pe. Valentim de Carvalho;1560;Lisboa;1631;;;
13579;Pedro Calafate;;;;;;
1358;;
13580;Paulo Alexandre Borges;;;;;;
13581;Carlos (coord.) Morais;;;;;;
13582;Elodie Dupau;;;;;;
13583;Marta Madureira;1977;Porto;;;
13584;Cristina Malaquias;1955;;;;
13585;Bruno Martins Soares;1971;Lisboa;;;
13586;Carlos Marques;1966;;;;
13587;Horácio Tomé Marques;1960;Águas Santas (Maia);;;
13588;Ofélia Marques;1902;Lisboa;1952;;;
13589;Jorge Martins;1940;Lisboa;;;
1359;;
13590;Rami Sa'ari;;;;;;
13591;D. João de Almeida (Lavradio);1866;;1950;;;
13592;António M. Martinó;;;;;;
13593;Iman Napea;;;;;;
13594;Raul Tamagnini Barbosa;1878;Tomar;1939;Espinho;;
13595;Vítor Wladimiro Ferreira;1934;Lourenço Marques (hoje Maputo);2012;Caxias;;
13596;Rui Pires Cabral;1967;Macedo de Cavaleiros;;;
13597;Magda de Avelar Pinheiro;1950;Almada;;;
13598;Pedro Beltrão;1943;Lisboa;;;
13599;Pedro Caldeira Rodrigues;;;;;;
1360;;
13600;David Frier;;;;;;
13601;Flavia Maria Corradin;;;;;;
13602;Abel Barros (org.) Baptista;;;;;;
13603;João Camilo dos Santos;1943;Salgueiro do Campo;;;
13604;Maria de Lourdes A. (coord.) Ferraz;;;;;;
13605;Cristina Carvalho;1949;Lisboa;;;
13606;Luís Miguel Campião;;;;;;
13607;José María Martín Patino;;;;;;
13608;Maria Feio;1870;Guiães;1939;;;
13609;Pe. Nicolau Pimenta;1546;Santarém;1614;Goa;;
1361;;
13610;Pe. Tomás Estêvão;1616;Londres;?;Goa;;
13611;Francisco Teixeira da Mota;1954;;;;
13612;Sócrates da Costa;1898;Margão;1959;Nova Iorque;;
13613;Vicente de Bragança Cunha;1943;Cuelim;?;Lisboa;;
13614;João da Silva Correia;1896;São João da Madeira;1973;São João da Madeira;;
13615;Carlos Campaniço;1973;Safara;;;
13616;Edgar Pires Cavaco;;;;;;
13617;Nasi Lera;;;;;;
13618;Alberto Estanislau;1849;Porto;?;;;
13619;Antoine Homsi;;;;;;
1362;;
13620;Saleh Almani;;;;;;
13621;Abir Hassan;;;;;;
13622;Nazmun Nahar Alam;;;;;;
13623;Núria Prats Espar;;;;;;
13624;Marie Havliková;;;;;;
13625;Dejan Trdak;;;;;;
13626;Madalena Carretero Cruz;;;;;;
13627;Puchong Dejarkom;;;;;;
13628;Custódio Rebelo de Carvalho;1805;Santão;1883;Lisboa;;
13629;Alfredo de Morais Pinto;1851;Lisboa;1921;Lisboa;;
1363;;
13630;Maria João L. Ortigão de Oliveira;1955;;;;
13631;Miguel António Dias;1805;Covilhã;1878;Torres Novas;;
13632;Paulo Reis Mourão;1979;;;;
13633;João de Sá;1928;Vila Flor;2012;Lisboa;;
13634;Helder Sequeira;1959;;;;
13635;Nuno Nepomuceno;1978;Caldas da Rainha;;;
13636;Pe. Jerónimo Soares Barbosa;1737;Ansião;1816;Coimbra;;
13637;Conceição Dinis Tomé;;;;;;
13638;Carlos Frias de Carvalho;1945;Seiça;;;
13639;Esther Mucznik;;;;;;
1364;;
13640;João Pacheco de Amorim;;;;;;
13641;Francisco dos Anjos;1683;Viana do Castelo;?;Lisboa;;
13642;Pedro Barbosa;1522;Viana do Castelo;1606;Lisboa;;
13643;António Breda Carvalho;1960;Mealhada;;;
13644;Susana Cavaco;1968;;;;
13645;Francisco José dos Santos Mendes;1973;Barreiro;;;
13646;Maria da Graça Vicente;1954;;;;
13647;Carlos Pacheco;1945;Luanda;;;
13648;Mário Berberan e Santos;;;;;;
13649;Gouvêa Lemos;1924;Lamego;1972;Rio de Janeiro;;
1365;;
13650;João Mendes;1926;Lourenço Marques (hoje Maputo);2012;;;
13651;Manuel Ferreira;1916;Ponta Delgada;2012;Ponta Delgada;;
13652;Maria Inácia Rezola;;;;;;
13653;Manuel Isaías Abúndio da Silva;1874;Viana do Castelo;1914;Viana do Castelo;;
13654;António Matos Ferreira;;;;;;
13655;Damião de Vasconcelos;1880;Póvoa de Varzim;1953;Lisboa;;
13656;Abel Viana;1896;Viana do Castelo;1964;Beja;;
13657;Francisco Manuel Homem Cristo Filho;1892;Lisboa;1928;Macchia della Madona;;
13658;Fernando Garcia;1872;Vidigueira;1931;Setúbal;;
13659;César dos Santos;1907;;1974;;;
1366;;
13660;Carlos Ernesto de Sá Cardoso;1902;;;;
13661;João Alves da Costa;1948;Lisboa;;;
13662;Severo Portela;1875;Porto;1945;Porto?;;
13663;João de Meira;1881;Guimarães;1913;Guimarães;;
13664;Emília Nóvoa Faria;;;;;;
13665;António Martins;;;;;;
13666;Joana Brites;1982;;;;
13667;António Avelino Amaro da Silva;1889;?;?;Lisboa;;
13668;Miguel de Oliveira;1897;Válega;1968;Lisboa;;
13669;Artur Modesto;1897;Beja;;;
1367;;
13670;Maria Alice Oliveira Lusitano Gonçalves;;;;;;
13671;António Augusto Gonçalves;;;;;;
13672;Padre Francisco Machado;1598;Vila Pouca;1659;;;
13673;João Miguel Tavares;1973;Portalegre;;;
13674;Madalena Matoso;1974;Parede;;;
13675;Alain Corbel;;;;;;
13676;António Lucena;;;;;;
13677;João Honrado;1929;Ferreira do Alentejo;2013;Beja;;
13678;Aurelino Costa;1956;Argivai;;;
13679;Despina Niculescu;;;;;;
1368;;
13680;Dan Botta;;;;;;
13681;Carmen Vasilescu;;;;;;
13682;Ion Moraru;;;;;;
13683;Al. Popescu-Telega;;;;;;
13684;Cesáreo García Fernández;;;;;;
13685;Pavel Mocanu;;;;;;
13686;Angela Mocanu;;;;;;
13687;Mariana Ploae Hangunu;;;;;;
13688;Andrei Benedek;;;;;;
13689;Anca Milu-Vaidesegan;;;;;;
1369;;
13690;Clarisa Lima;;;;;;
13691;Emil Fulda;;;;;;
13692;Roxana Eminescu;;;;;;
13693;Georgiana Barbulescu;;;;;;
13694;Andrei Ionescu;;;;;;
13695;Patrícia Lucas;;;;;;
13696;Sandro William Junqueira;1974;Umtali;;;
13697;Rui Manuel Amaral;1973;Porto;;;
13698;Carlos Rangel;;;;;;
13699;Manuel Rodrigues;1889;Bemposta;1946;Lisboa;;
1370;;
13700;Duarte Gustavo Nogueira Soares;1831;Marco de Canaveses;1901;Lisboa;;
13701;Maria de Fátima Botão;;;;;;
13702;Maria do Rosário Bastos;;;;;;
13703;Maria Filomena Andrade;;;;;;
13704;António Matos Reis;;;;;;
13705;Paula Cristina Barata Dias;;;;;;
13706;Carlos Manuel da Silva Moura;;;;;;
13707;Maria Albertina Tapadinhas;;;;;;
13708;João Luís Inglês Fontes;;;;;;
13709;Anísio Miguel de Sousa Saraiva;1972;;;;
1371;;
13710;Emmerico Nunes;1888;Lisboa;1968;Sines;;
13711;Jerónimo Pizarro;;;;;;
13712;Nuno Lobo Antunes;1954;Lisboa;;;
13713;Ulrich Kunzmann;;;;;;
13714;Roberto de Hollanda;;;;;;
13715;Salomé de Almeida;1893;Luanda;;;
13716;Carlos Amaro;1879;Chamusca;1946;Lisboa;;
13717;Felipe Cammaert;;;;;;
13718;Isabel César Anjo;1926;Santa Comba Dão;2013;Lisboa;;
13719;Laura de Mello e Souza;;;;;;
1372;;
13720;Inês Barros Baptista;1966;Lisboa;;;
13721;Carlos Correia;1947;Castelo Branco;;;
13722;António Ferra;1947;Porto;;;
13723;Augusto Baptista;;;;;;
13724;Raul Malaquias Marques;1947;Vieira de Leiria;;;
13725;Ana Meireles;1952;Lisboa;;;
13726;Anabela Mimoso;1953;Lisboa;;;
13727;Maria Natália Miranda;1925;Canas de Senhorim;;;
13728;Sílvia Montarroyos;1945;Brasil;;;
13729;Ernesto de Andrade Pardal;;;;;;
1373;;
13730;Antero Monteiro;1946;São Paio de Oleiros;;;
13731;José Adílio Barbosa Macedo;1933;Oliveira;;;
13732;José Carlos Sendim;;;;;;
13733;Álvaro Carvalho;1964;;;;
13734;Victor Pinho;;;;;;
13735;Flávio Lopes da Silva;;;;;;
13736;Vítor Serra;;;;;;
13737;Manuel António Pina;1943;Sabugal;2012;Porto;;
13738;Paula Teixeira de Queiroz;;;;;;
13739;Ana Saldanha;1959;Porto;;;
1374;;
13740;José Saramago;1922;Azinhaga;2010;Lanzarote;;
13741;Ana Maria Magalhães;1946;Lisboa;;;
13742;Isabel Alçada;1950;Lisboa;;;
13743;António Avelar de Pinho;1947;Entroncamento;;;
13744;Pedro de Freitas Branco;1967;Lisboa;;;
13745;Daniel de Sá;1944;Maia;2013;Maia;;
13746;Judite Jorge;1965;Pontas Negra;;;
13747;Manuel Silva Terra;2013;Orvalho;;;
13748;Ricardo Araújo Pereira;1974;Lisboa;;;
13749;Pe. António Machado Vilas-Boas;1673;Vilar de Figos;1741;Lisboa;;
1375;;
13750;António Lúcio do Porto Pedroso;1695;Viana do Lima (hoje Viana do Castelo);1776;Viana do Lima;;
13751;Pe. Pedro de Almeida Couraça;;;;;;
13752;João Castelão Pereira;1642;Viana do Lima (hoje Viana do Castelo);1722;Viana do Lima;;
13753;Fr. Pedro de Poiares;1678;Poiares;?;Braga;;
13754;Eduardo White;;;;;;
13755;Horácio Peixoto de Araújo;1945;Vila Verde;2008;;;
13756;Fernando Eduardo Carita;1961;Niza;2013;;;
13757;Dina Gusmão;;;;;;
13758;Sandra Biondo;;;;;;
13759;Alexandra Moreira da Silva;;;;;;
1376;;
13760;Luís Maffei;;;;;;
13761;José D. Garcia Domingues;1910;Silves;1989;Lisboa;;
13762;Luís Gonzaga Gomes;1907;Macau;1976;Macau;;
13763;Mónica Baldaque;1946;Peso da Régua;;;
13764;Francisco de Eulália;;;;;;
13765;Júlio Henriques;1838;Arco de Baúlhe;1928;Coimbra;;
13766;Cristina Drios;1969;Lisboa;;;
13767;João Pedro Silveira;;;;;;
13768;Pe. Gabriel de Magalhães;1609;Pedrógão;1677;Pequim;;
13769;Irene Pih;;;;;;
1377;;
13770;José Xavier de Valadares e Sousa;;;;;;
13771;António Maria do Soveral;1874;Sernancelhe;1920;Meã;;
13772;Pedro Talésio;1639;;?;Coimbra?;;
13773;Raquel Freire;1973;Porto;;;
13774;João Carlos Vitorino Pereira;;;;;;
13775;Comissão das Comemorações do Centenário;;;;;;
13776;Catarina Pires;;;;;;
13777;Maria Valentina Paiva;;;;;;
13778;Leonor de Noronha;1488;Évora;1563;Évora;;
13779;Maria Otília Pereira Lage;;;;;;
1378;;
13780;D. Pedro de Meneses;1487;Ceuta;1543;;;
13781;João de Castro Nunes;1921;;;;
13782;Sóror Maria Mesquita Pimentel;1581;Estremoz;1661;Évora;;
13783;Frei João de São Pedro;1692;Lisboa;;;
13784;Fernando Dacosta;1945;Luanda;;;
13785;Victor Eleutério;1937;Lisboa;;;
13786;Ilda Mendes dos Santos;;;;;;
13787;Paula Cristina Costa;1963;;;;
13788;Álvaro Giesta;;;;;;
13789;Manuel Madeira;1924;;;;
1379;;
13790;D. Filipa de Lencastre;1435;Coimbra;1497;Odivelas;;
13791;Gabriela Ruivo Trindade;1970;Lisboa;;;
13792;Idalina Maia;1977;Covilhã;;;
13793;Ana Rita Faustino;;;;;;
13794;Ricardo Dias;;;;;;
13795;Maria Saraiva de Menezes;1971;Porto;;;
13796;Josefa Teresa dos Serafins;;;;;;
13797;João Dias Talaia Sotomaior;1795;?;?;;;
13798;Manuel Monteiro de Campos;;;;;;
13799;João Baptista de Este;;;;;;
1380;;
13800;Teresa Luísa Febrónia Rosa da Silva;1725;Lisboa;1800;;;
13801;Raquel Nobre Guerra;1979;;;;
13802;D. Isabel Correia;1655;Lisboa;1700;Amesterdão;;
13803;Irene Anderberg;;;;;;
13804;Pe. Miguel do Amaral;1656;Azurara;1730;Coimbra;;
13805;Óscar (coord.) Mendes;;;;;;
13806;Óscar Mendes;;;;;;
13807;Ruy Reis Tapioca;;;;;;
13808;Luís Andrade Sá;;;;;;
13809;Fr. Paulo da Trindade;1570;Macau;;;
1381;;
13810;Frei José de Jesus Maria;;;;;;
13811;Frei Apolinário da Conceição;1692;Lisboa;1755;Lisboa;;
13812;Gaspar de S. Miguel;;;;;;
13813;Jerónimo Calvo;1575;Lisboa;;;
13814;Paula Cristina Rodrigues;1978;Porto;;;
13815;Maria do Rosário Monteiro;1959;;;;
13816;Maria do Rosário (org.) Pimentel;1953;;;;
13817;Jorge Henriques;;;;;;
13818;Jorge Fazenda;1948;Lisboa;;;
13819;Manuel de Melo;1834;Aveiro;1884;Milão;;
1382;;
13820;João Caraça;1945;Lisboa;;;
13821;Ana Vaz Milheiro;1968;Lisboa;;;
13822;Nuno Faria;1971;Lisboa;;;
13823;Rui Ângelo Araújo;1968;Pedras Salgadas;;;
13824;Paulo Bandeira Faria;1963;Viseu;2013;;;
13825;Frei António Soares de Albergaria;1523;Lisboa? Albergaria?;;;
13826;Bernardo Pereira de Berredo;1748;Serpa;?;Lisboa;;
13827;Frei Manuel Caldeira;1662;Montemor-o-Novo;;;
13828;C. F. Beckingham;;;;;;
13829;G. W. B. Huntingford;;;;;;
1383;;
13830;Fr. Francisco Negrão;;;;;;
13831;Frei José de Jesus Maria;1752;Arcos de Valdevez;?;Mafra;;
13832;Cónego Manuel Anaquim;1871;Covilhã;1939;Lisboa;;
13833;Joaquim de Freitas Gonçalves;1871;Porto;1943;Porto;;
13834;Susana Rosa;;;;;;
13835;Juana Inarejos Ortiz;;;;;;
13836;José Domingos;;;;;;
13837;Pelouro da Cultura da C. M. da (org.) Guarda;;;;;;
13838;Major Artur de Morais;1865;Lisboa;1940;Angola;;
13839;Santiago Ochoa;;;;;;
1384;;
13840;Alexandra Guimarães;;;;;;
13841;Susana Noronha Cunha,;;;;;;
13842;Marlene Teixeira;;;;;;
13843;Sandra Ferreira,;;;;;;
13844;Ana Margarida de Carvalho;;;;;;
13845;Bruno Vieira Amaral;1978;;;;
13846;Hugo Gonçalves;1976;;;;
13847;Paulo M. Morais;1972;;;;
13848;Filipe Fonseca Homem;;;;;;
13849;Rodrigo Magalhães;1975;;;;
1385;;
13850;Pedro Almeida Maia;1979;Ponta Delgada;;;
13851;Paula de Sousa Lima;1962;Lisboa;;;
13852;Carlos Alberto Machado;1954;Lisboa;;;
13853;Alfonso Bruno Parisini;;;;;;
13854;Margarida Gerdinivska;;;;;;
13855;Vincent Gorse;;;;;;
13856;Alice Borges Gago;;;;;;
13857;Carla Martinho;;;;;;
13858;Luís Raposo;;;;;;
13859;;
1386;;
13860;Catarina da Fonseca;1969;Lisboa;;;
13861;Luís Salgado de Matos;1946;Lisboa;;;
13862;Gaspar Martins Pereira;1954;;;;
13863;Fernando de Sousa;;;;;;
13864;Daniel Bastos;1980;Fafe;;;
13865;Maria Marta Lobo de Araújo;1959;;;;
13866;Federico Bertolazzi;;;;;;
13867;Margarida Acciaiuoli;1948;;;;
13868;Manuel Dias Duarte;1943;Lisboa;;;
13869;;
1387;;
13870;Valério Romão;1974;França;;;
13871;Carlos Câmara Leme;;;;;;
13872;Pedro de Freitas;1894;Loulé;1987;Barreiro;;
